Gender,Bank_Loan,Capital_Loan,Region_Code,Year
1,43350000,1360000,4211000000,2023
2,42890000,19150000,4111100000,2020
1,10000,16380000,4399000000,2023
1,25230000,22000000,4146510700,2022
1,26130000,1710000,4273000000,2022
2,27160000,19030000,4146510700,2023
1,40360000,7210000,4291000000,2020
1,30110000,1320000,4111100000,2020
1,4460000,7170000,4111100000,2024
2,47610000,21070000,4273000000,2021
1,10790000,19530000,4280000000,2024
1,12310000,21060000,4111100000,2020
1,560000,14740000,4211000000,2023
1,13720000,28540000,4279000000,2021
2,40110000,9080000,4111100000,2023
1,10150000,4880000,4279000000,2024
2,650000,21740000,4146510700,2022
2,44340000,19530000,4432610000,2023
2,800000,2320000,4280000000,2024
1,9320000,17930000,4399000000,2024
2,5020000,9870000,4321500000,2024
1,11550000,29560000,4280000000,2022
2,20810000,15230000,4321500000,2022
2,26760000,8170000,4146510700,2022
2,15430000,23940000,4280000000,2021
2,35640000,7690000,4399000000,2022
2,39540000,28470000,4321500000,2022
2,10340000,7050000,4273000000,2022
2,26620000,5440000,4211000000,2023
2,32380000,6070000,4280000000,2022
1,6200000,190000,4146510700,2021
1,44100000,1920000,4111100000,2024
2,12830000,4790000,4399000000,2023
2,30640000,9200000,4321500000,2020
2,12120000,19890000,4321500000,2022
1,23110000,11600000,4211000000,2024
2,27750000,3800000,4321500000,2024
1,43620000,16500000,4279000000,2023
1,43400000,970000,4291000000,2020
1,46380000,29840000,4279000000,2021
1,28040000,4030000,4321500000,2024
1,18640000,22190000,4399000000,2024
2,27510000,550000,4280000000,2024
2,45510000,610000,4146510700,2024
2,15850000,440000,4111100000,2023
2,12150000,8220000,4280000000,2020
2,43540000,16110000,4273000000,2024
1,46410000,12230000,4280000000,2021
2,13980000,13640000,4280000000,2021
2,40950000,27040000,4146510700,2022
1,24720000,21920000,4211000000,2024
2,47840000,5120000,4321500000,2024
1,20270000,22670000,4211000000,2024
2,27530000,17320000,4273000000,2024
1,45620000,29770000,4432610000,2024
2,5400000,22670000,4111100000,2021
2,28200000,3640000,4279000000,2020
1,4150000,10460000,4111100000,2020
1,46020000,8380000,4321500000,2022
1,29480000,12950000,4111100000,2021
1,33350000,19670000,4291000000,2024
1,23160000,21820000,4279000000,2020
1,37190000,11550000,4273000000,2023
1,3280000,7900000,4321500000,2023
1,17450000,17790000,4399000000,2023
2,48510000,270000,4273000000,2024
2,22190000,530000,4291000000,2024
1,44880000,5270000,4279000000,2022
2,20220000,18640000,4146510700,2022
2,8430000,16220000,4291000000,2022
2,15140000,9200000,4273000000,2023
2,15460000,27770000,4321500000,2024
1,31770000,26480000,4432610000,2023
2,22220000,26080000,4321500000,2022
1,13600000,29870000,4279000000,2024
2,1370000,1120000,4432610000,2021
2,29010000,10200000,4211000000,2020
2,40900000,4590000,4279000000,2020
1,1430000,5090000,4279000000,2022
2,35210000,13050000,4291000000,2023
1,34090000,23730000,4321500000,2021
2,26730000,29590000,4273000000,2024
1,16370000,22790000,4146510700,2023
2,39380000,20250000,4111100000,2022
1,11210000,28700000,4280000000,2023
1,23680000,29310000,4146510700,2022
2,30220000,15940000,4111100000,2020
1,44440000,11040000,4211000000,2020
2,40100000,4640000,4273000000,2023
2,24560000,10530000,4321500000,2021
2,10990000,8890000,4399000000,2024
2,40920000,28600000,4279000000,2022
2,26260000,9010000,4146510700,2024
2,39990000,2020000,4111100000,2020
2,21820000,19790000,4399000000,2021
2,21590000,15960000,4146510700,2021
2,37020000,27690000,4273000000,2024
2,36310000,19170000,4321500000,2020
2,8970000,14510000,4432610000,2024
1,36180000,28640000,4146510700,2023
1,28990000,1760000,4146510700,2021
2,17640000,10820000,4321500000,2021
2,16150000,19620000,4211000000,2023
2,9960000,25800000,4291000000,2020
2,7540000,27560000,4146510700,2021
2,5380000,5360000,4321500000,2022
2,12150000,15840000,4291000000,2022
2,14510000,880000,4321500000,2020
2,19670000,25630000,4321500000,2023
1,23060000,15230000,4211000000,2024
2,48110000,15530000,4321500000,2020
1,23590000,6220000,4273000000,2024
2,18980000,13940000,4146510700,2020
2,39240000,14640000,4111100000,2022
1,2630000,7850000,4111100000,2023
2,3130000,29980000,4111100000,2022
1,27430000,23910000,4321500000,2023
2,47690000,21660000,4399000000,2024
2,49570000,3930000,4291000000,2020
1,24210000,1620000,4291000000,2021
2,11610000,20150000,4321500000,2021
1,1720000,27350000,4273000000,2023
2,46410000,11380000,4273000000,2023
1,12750000,5980000,4279000000,2022
1,5070000,24470000,4321500000,2021
2,32000000,26400000,4280000000,2022
2,440000,2560000,4211000000,2024
1,6310000,13450000,4111100000,2021
2,2270000,26130000,4211000000,2024
2,41240000,29160000,4111100000,2020
2,29010000,18070000,4432610000,2022
1,23270000,27200000,4432610000,2023
1,42890000,24420000,4321500000,2021
1,15340000,22470000,4432610000,2022
1,48750000,26970000,4399000000,2023
1,34820000,3700000,4279000000,2020
1,2750000,28930000,4273000000,2021
1,33090000,9870000,4399000000,2024
1,1220000,22220000,4211000000,2020
1,25280000,14310000,4211000000,2023
2,49840000,16740000,4432610000,2021
1,32130000,8010000,4273000000,2021
2,46450000,4920000,4279000000,2020
2,41150000,3880000,4111100000,2021
2,4460000,4010000,4399000000,2023
1,8800000,29460000,4279000000,2020
1,22950000,13650000,4146510700,2024
1,35820000,3300000,4291000000,2020
1,37960000,13030000,4432610000,2020
2,27190000,8720000,4111100000,2024
1,7640000,24870000,4146510700,2023
1,19600000,22490000,4111100000,2022
1,7320000,17430000,4111100000,2022
1,43390000,1190000,4432610000,2024
1,36070000,14530000,4111100000,2023
2,47000000,23790000,4279000000,2021
1,42020000,24790000,4279000000,2024
2,18300000,3320000,4146510700,2022
1,17600000,6850000,4211000000,2023
2,16000000,5110000,4273000000,2020
1,28180000,9140000,4399000000,2023
1,48440000,380000,4399000000,2023
2,30280000,9200000,4280000000,2022
2,370000,960000,4432610000,2022
2,18730000,2420000,4321500000,2021
1,9160000,8200000,4321500000,2021
2,18540000,7490000,4146510700,2024
1,14450000,22800000,4111100000,2020
1,33830000,8990000,4111100000,2021
2,49300000,10120000,4432610000,2022
2,2840000,28590000,4291000000,2023
1,12120000,25630000,4211000000,2024
1,7370000,950000,4280000000,2021
2,25430000,22040000,4279000000,2023
2,22930000,13650000,4111100000,2023
2,31850000,13200000,4280000000,2021
1,35510000,11290000,4399000000,2020
1,28890000,15790000,4291000000,2020
1,23000000,4020000,4279000000,2024
1,22360000,22660000,4432610000,2020
1,30780000,23910000,4280000000,2024
