연번,호선,고유역번호(외부역코드),역명,수송연월,승하차인원수
1,1,150,서울역(1),2023-01,2744112
2,1,151,시청(1),2023-01,1301470
3,1,152,종각,2023-01,1994694
4,1,153,종로3가(1),2023-01,1393482
5,1,154,종로5가,2023-01,1284077
6,1,155,동대문(1),2023-01,619688
7,1,156,신설동(1),2023-01,716907
8,1,157,제기동,2023-01,997970
9,1,158,청량리,2023-01,1107272
10,1,159,동묘앞(1),2023-01,511179
11,2,201,시청(2),2023-01,1244235
12,2,202,을지로입구,2023-01,2418404
13,2,203,을지로3가(2),2023-01,1248107
14,2,204,을지로4가(2),2023-01,704208
15,2,205,동대문역사문화공원(2),2023-01,793933
16,2,206,신당(2),2023-01,781872
17,2,207,상왕십리,2023-01,748469
18,2,208,왕십리(2),2023-01,812699
19,2,209,한양대,2023-01,411544
20,2,210,뚝섬,2023-01,1217612
21,2,211,성수,2023-01,2160822
22,2,212,건대입구(2),2023-01,2121801
23,2,213,구의,2023-01,1278469
24,2,214,강변,2023-01,1742524
25,2,215,잠실나루,2023-01,744733
26,2,216,잠실(2),2023-01,4239427
27,2,217,잠실새내,2023-01,1212897
28,2,218,종합운동장(2),2023-01,426837
29,2,219,삼성,2023-01,2819331
30,2,220,선릉,2023-01,2686553
31,2,221,역삼,2023-01,2822986
32,2,222,강남,2023-01,4378093
33,2,223,교대(2),2023-01,1815479
34,2,224,서초,2023-01,1126546
35,2,225,방배,2023-01,850231
36,2,226,사당(2),2023-01,2250686
37,2,227,낙성대,2023-01,1461852
38,2,228,서울대입구,2023-01,2508196
39,2,229,봉천,2023-01,1256148
40,2,230,신림,2023-01,3089789
41,2,231,신대방,2023-01,1367260
42,2,232,구로디지털단지,2023-01,3108286
43,2,233,대림(2),2023-01,1341365
44,2,234,신도림,2023-01,2681880
45,2,235,문래,2023-01,1146146
46,2,236,영등포구청(2),2023-01,1155466
47,2,237,당산,2023-01,1019334
48,2,238,합정(2),2023-01,1866842
49,2,239,홍대입구,2023-01,3879342
50,2,240,신촌,2023-01,1991673
51,2,241,이대,2023-01,768544
52,2,242,아현,2023-01,545605
53,2,243,충정로(2),2023-01,533262
54,2,244,용답,2023-01,158314
55,2,245,신답,2023-01,96216
56,2,246,신설동(2),2023-01,204294
57,2,247,도림천,2023-01,72682
58,2,248,양천구청,2023-01,376280
59,2,249,신정네거리,2023-01,566106
60,2,250,용두,2023-01,134197
61,3,309,지축,2023-01,318883
62,3,310,구파발,2023-01,1105120
63,3,311,연신내(3),2023-01,1853123
64,3,312,불광(3),2023-01,898560
65,3,313,녹번,2023-01,783351
66,3,314,홍제,2023-01,919213
67,3,315,무악재,2023-01,228594
68,3,316,독립문,2023-01,382104
69,3,317,경복궁,2023-01,1160291
70,3,318,안국,2023-01,1299945
71,3,319,종로3가(3),2023-01,576176
72,3,320,을지로3가(3),2023-01,580849
73,3,322,동대입구,2023-01,472740
74,3,323,약수(3),2023-01,682187
75,3,324,금호,2023-01,418563
76,3,325,옥수,2023-01,492197
77,3,326,압구정,2023-01,1827251
78,3,327,신사,2023-01,1623659
79,3,328,잠원,2023-01,246149
80,3,329,고속터미널(3),2023-01,2709881
81,3,330,교대(3),2023-01,614818
82,3,331,남부터미널,2023-01,1663148
83,3,332,양재,2023-01,2006143
84,3,333,매봉,2023-01,624479
85,3,334,도곡,2023-01,263062
86,3,335,대치,2023-01,666658
87,3,336,학여울,2023-01,113899
88,3,337,대청,2023-01,515709
89,3,338,일원,2023-01,539121
90,3,339,수서,2023-01,1012018
91,3,340,가락시장(3),2023-01,487356
92,3,341,경찰병원,2023-01,393041
93,3,342,오금(3),2023-01,317031
94,4,409,당고개,2023-01,476754
95,4,410,상계,2023-01,982582
96,4,411,노원(4),2023-01,1110471
97,4,412,창동,2023-01,1404126
98,4,413,쌍문,2023-01,1508852
99,4,414,수유,2023-01,1855227
100,4,415,미아,2023-01,777627
101,4,416,미아사거리,2023-01,1442505
102,4,417,길음,2023-01,1085054
103,4,418,성신여대입구,2023-01,1073630
104,4,419,한성대입구,2023-01,680470
105,4,420,혜화,2023-01,1912350
106,4,421,동대문(4),2023-01,969058
107,4,422,동대문역사문화공원(4),2023-01,875175
108,4,423,충무로(4),2023-01,1355816
109,4,424,명동,2023-01,1424616
110,4,425,회현,2023-01,1279907
111,4,426,서울역(4),2023-01,858718
112,4,427,숙대입구,2023-01,698552
113,4,428,삼각지(4),2023-01,343051
114,4,429,신용산,2023-01,1021446
115,4,430,이촌,2023-01,549515
116,4,431,동작,2023-01,97521
117,4,432,이수(총신대입구),2023-01,1067254
118,4,433,사당(4),2023-01,1357897
119,4,434,남태령,2023-01,67818
120,5,2511,방화,2023-01,356845
121,5,2512,개화산,2023-01,298364
122,5,2513,김포공항(5),2023-01,444091
123,5,2514,송정,2023-01,340926
124,5,2515,마곡,2023-01,562682
125,5,2516,발산,2023-01,1143504
126,5,2517,우장산,2023-01,756913
127,5,2518,화곡,2023-01,1484247
128,5,2519,까치산(5),2023-01,1525522
129,5,2520,신정,2023-01,660655
130,5,2521,목동,2023-01,906237
131,5,2522,오목교,2023-01,1195550
132,5,2523,양평(5),2023-01,382626
133,5,2524,영등포구청(5),2023-01,227050
134,5,2525,영등포시장,2023-01,588351
135,5,2526,신길(5),2023-01,235608
136,5,2527,여의도(5),2023-01,1520454
137,5,2528,여의나루,2023-01,578474
138,5,2529,마포,2023-01,757019
139,5,2530,공덕(5),2023-01,749411
